 	Unnamed: 0	q0001	q0002	q0004_0001	q0004_0002	q0004_0003	q0004_0004	q0004_0005	q0004_0006	q0005	q0007_0001	q0007_0002	q0007_0003	q0007_0004	q0007_0005	q0007_0006	q0007_0007	q0007_0008	q0007_0009	q0007_0010	q0007_0011	q0008_0001	q0008_0002	q0008_0003	q0008_0004	q0008_0005	q0008_0006	q0008_0007	q0008_0008	q0008_0009	q0008_0010	q0008_0011	q0008_0012	q0009	q0010_0001	q0010_0002	q0010_0003	q0010_0004	q0010_0005	q0010_0006	q0010_0007	q0010_0008	q0011_0001	q0011_0002	q0011_0003	q0011_0004	q0011_0005	q0012_0001	q0012_0002	q0012_0003	q0012_0004	q0012_0005	q0012_0006	q0012_0007	q0013	q0014	q0015	q0017	q0018	q0019_0001	q0019_0002	q0019_0003	q0019_0004	q0019_0005	q0019_0006	q0019_0007	q0020_0001	q0020_0002	q0020_0003	q0020_0004	q0020_0005	q0020_0006	q0021_0001	q0021_0002	q0021_0003	q0021_0004	q0022	q0024	q0025_0001	q0025_0002	q0025_0003	q0026	q0028	q0029	q0030	q0034	q0035	q0036	racethn4	educ4	age3	kids	orientation	weight
Unnamed: 0	1.0	-0.0012623673331070419	0.035838193678860604	-0.028696672839884783	0.020051917689266893	0.021705533956349797	nan	-0.0075489579085192835	-0.012488062150781047	-0.04805610765072406	0.019124107472831137	-0.06361438865658568	-0.013740995853456084	-0.011499166946369651	0.04329980120530739	-0.0014406679763720733	-0.02051464342272969	0.017090152828999925	-0.007441569081587755	0.01891759624303994	-0.03231581208509778	0.042996295027457214	-0.006447869017324687	nan	0.06930604823651161	0.07260835010624907	0.05181979358631125	0.051225125720219894	0.04667726186664304	nan	nan	0.058087645493982286	-0.00965298138069634	0.09752814327447655	0.03821674588876723	0.039253163026169734	0.04237472466055733	0.03495003819421964	0.05107135779858802	0.04713785835715412	0.09736158321224668	-0.013139215729749963	0.04469849951783179	0.040203597681197564	0.03263358321501314	0.11205090282929665	0.03960928647096898	-0.014562017770132465	0.01987706026445468	0.009694843084076251	0.03614460936789613	0.019133613905082388	0.11359887106157333	0.02956265419573728	0.04352951347555442	0.11208289169692383	0.11658623924963765	-0.04329082033805906	-0.019902634580074175	-0.02874643065313877	-0.0140660645923769	0.03200222354185881	0.007924907863410885	-0.04537970346009751	0.01456984101098547	0.0074906018701267766	nan	nan	nan	nan	nan	0.0017476797932307123	-0.027493815604968226	0.01328048254724066	0.049134788111462255	nan	0.03551980056702931	-0.031287022610529056	0.0767059262893976	-0.12376208665588465	nan	-0.007551933258884293	0.0436383522885738	-0.011121024536692885	0.10649671275940391	-0.025289272527889282	-0.027875408283548047	0.03483309324693237	0.03543058145568898	-0.014965410944846678	-0.12202113286593072	-0.08257878266000843	-0.011279668722174436	0.4857616754001321
q0001	-0.0012623673331070419	1.0	0.23886303223047986	-0.07933486242014069	-0.012741384356876278	-0.022480857689533333	nan	-0.036029309242235415	-0.00030090586148525127	0.03870147430071848	0.07129248462166951	0.1024640544166944	0.018128243136210347	0.015541252217638926	-0.006486999792754875	-0.037371761541745055	0.03988641242857793	0.12634494555603853	0.02840381600662206	-0.010869087443668001	-0.12213904187111575	0.024800188312454636	-0.06488098378146914	nan	-0.0512010166426968	0.04188209186389529	0.019836075417867152	0.046341275800120284	0.0011395643758654115	nan	nan	-0.01101685448833937	0.03233800540060008	0.005598775723123321	0.01634373356993716	-0.0038113916781849877	-0.003679561812180944	-0.015775809824307558	0.04849439639825986	0.0006278708590017155	0.009060206789276474	0.01595849888463935	-0.009408680792566109	-0.02977201148911219	-0.015642071542216186	0.04055562375609236	-0.01640491092695051	-0.043122450174040296	-0.0033245583863406323	0.029150229362389136	0.013635222665697465	0.019150482041760414	-0.022784894284300045	0.03622005103015927	-0.005026414410876799	-0.037977426323203556	-0.004755773745871642	0.08053219847471853	0.0389376939870595	-0.04393034944253269	-0.031453938271979676	-0.03121927870901467	-0.03086161024141651	-0.06759711553142506	-0.004800529823644274	0.001297771181226446	nan	nan	nan	nan	nan	0.022949743844633406	-0.014522265551932628	0.02167043114317109	-0.007917983521108053	nan	0.06653703521981902	0.022962110308414947	0.001974393029105271	-0.05217847692107768	nan	0.06620707623428962	0.0198612921345118	0.052596257463286854	-0.025765007095113212	-0.029788751436739327	0.04450081641859119	0.026079110963673664	0.01505335778126384	0.06487917915144713	0.03674439227764118	-0.05109000505863725	0.022574646893066073	-0.0008310385725952376
q0002	0.035838193678860604	0.23886303223047986	1.0	-0.06611828623509387	-0.0021414283325379728	-0.041777577542590254	nan	-0.08642403395234165	0.04512138201090002	0.03888250053281704	0.07915886328417297	0.09285724208756038	-0.061626232608665385	0.04831053548063791	-0.014920194369753706	-0.036055366608090014	0.08314683123497335	0.16443343350605222	0.04490560207932986	-0.005011343635907288	-0.06825453088555433	-0.03265336116489654	-0.13188075135384356	nan	-0.12404544213161106	-0.02590978401039964	-0.02172637917018979	-0.02739967353872059	-0.017894265824127335	nan	nan	-0.04506395731189609	0.07984203358976576	-0.011873174761346163	-0.022636127332875716	-0.020291638565448303	-0.0235129126462597	-0.03392266302555736	0.01112379523559739	0.01391897352734689	-0.005792888953412905	0.03668566139734423	-0.07232000277793078	-0.07324091630320512	-0.09797860822420333	0.06446562915671604	0.020226437720975408	-0.014447382838653775	0.03755268464714858	-0.007586893781192503	0.026089078831095805	-0.031283164425823295	-0.04497803365476349	0.05587523623263814	-0.03207319132805598	-0.04292713772942188	-0.06765657028030825	0.10115121315923246	0.010794854721732989	-0.039290258717032886	-0.007121248363469199	-0.01030203929500379	-0.04828961589757878	-0.06958701923770712	-0.0375222044010902	0.016669351616353047	nan	nan	nan	nan	nan	0.05305796620775606	-0.021347053470695227	0.002274193997217424	-0.034541412740802746	nan	0.01651647662951104	-0.02896074937504866	-0.01734729934752464	-0.03723621738275257	nan	0.05684883006164453	0.03399680223712581	0.01649799954658382	0.003981366529630152	0.015632722243393182	0.027146691174332716	0.036542227925329705	0.046484335341665364	0.018742645232012953	0.039509118979535185	-0.05246213287436451	0.021768782511380525	0.0019897778525782136
q0004_0001	-0.028696672839884783	-0.07933486242014069	-0.06611828623509387	1.0	0.223538184749659	0.18679740699892924	nan	0.14069981126712333	-0.2549488378712398	0.0022536642782655493	-0.07960553379085025	-0.10195984790253222	-0.015453006545537239	-0.08518864981767421	0.033606707212922624	0.0004333626108511814	-0.06910621922549963	-0.09726332990934322	-0.03597408718688705	0.0298657796882786	0.07770071746476442	0.005093112614051734	0.09206163591075439	nan	0.039601620576794894	0.006340076057071652	-0.01757817931372676	0.025532695407416182	0.008015594851386792	nan	nan	0.05415019917720526	-0.010375360016952937	-0.00963706412454713	-0.0034397892400743965	0.040525907161110535	0.028718393411068622	0.03139347569145029	0.013334819758663234	0.029443104373431634	-0.0014558613492704183	0.007787084297691143	0.04410090091663806	0.05818097292075506	0.05694059471555252	-0.0209411659223719	0.019359205461888903	-0.0021784155909096267	-0.008909548718330036	-0.0021784155909095955	0.031972333387056434	-0.02060642943257915	0.026830472508758727	0.020610212547573645	0.0063764817883603464	-0.014886684511645001	0.04022512772627549	-0.08880688168571915	-0.03614260560291131	0.11338919129398085	0.04068882459973891	0.05594580910372194	0.03100685264783177	0.063138091458355	-0.0049148452916643135	0.018835497766450514	nan	nan	nan	nan	nan	-0.022873264856391424	-0.027487960051989113	-0.04171167136656261	-0.031126451759941012	nan	-0.04660419967301402	-0.006051377859241619	0.02413267446946349	0.043265992353307026	nan	-0.021772668792561303	0.002673655358771299	-0.04956607096198398	-0.001862182056025547	0.012015916965928792	-0.04836817216693622	-0.03214892744310965	0.001964744976257886	-0.06985144912236164	0.016199458384497878	0.06951613746369757	0.010704968860769737	-0.03266317623888123
q0004_0002	0.020051917689266893	-0.012741384356876278	-0.0021414283325379728	0.223538184749659	1.0	0.3154707558024371	nan	0.19956568611859085	-0.09842143452620333	-0.02464906196460732	-0.024555772037499108	-0.028906604313834995	-0.030682252008149682	-0.03207116978482866	0.0203129782728517	0.05011839356953121	-0.035082947975085946	-0.03766431244719986	-0.02480685467183758	0.03615315693868949	0.0027574407781047186	0.028977063518061588	0.006000939663531098	nan	0.04926239556848828	0.021746216125349358	0.014875249057023929	0.040930211205459005	0.03139993498292951	nan	nan	0.04780715274157477	-0.010458936562621072	-0.0011010135036663407	-0.016979712808635285	0.03629557072946077	0.025731436211948743	0.02544694864867514	0.011551619360323647	0.028591962407685474	0.00289234644796574	0.01495017144942152	0.020024194965148137	0.00798044783151146	0.032822513642089546	0.004790957610025935	0.017767209760932736	0.044549248518406706	0.03969719640927981	0.05955384421334462	0.06208464712083754	0.01563783246407597	-0.028281273244675484	-0.0051306590159243375	0.022454067541122863	0.010601429954101127	-0.02179681543254614	-0.027149062875824907	-0.013172433572288858	0.06530313830749031	0.01771249269878079	0.0736587152765559	0.02084966305342879	0.04629019308741028	0.03816441701533603	-0.0021989621600785577	nan	nan	nan	nan	nan	-0.006206179857052544	0.004221619763133676	0.0039267602737819655	0.0018493421026089063	nan	-0.004746744993343599	-0.024814455705636545	-0.017373320497407977	0.012968562803539342	nan	0.003808454650566776	-0.0016616769740428956	-0.024039090503074543	0.030317680637959286	0.03915893677063142	-0.009348949437974216	-0.01651013578864118	0.005499151696479225	-0.04749084088511162	0.03895176803620044	-0.007810267821879209	0.01973424069986126	0.010233703588314616
q0004_0003	0.021705533956349797	-0.022480857689533333	-0.041777577542590254	0.18679740699892924	0.3154707558024371	1.0	nan	0.35433204704735094	-0.09318397521175487	-0.0230365251448217	-0.12731897605731754	-0.10616938954699702	-0.05562318181643211	-0.024445532183365697	0.04994250141653129	0.02175856670446972	-0.028000828281917706	-0.05877590854996917	-0.014467842952441372	0.05263899811059387	-0.0015120951227119016	0.006700038900015289	0.08189410535293855	nan	0.06397363757045096	0.059939377779153806	0.040041443021444745	0.08908260573290712	0.05320337761544163	nan	nan	0.08710969016921061	-0.058224468327636975	-0.0066398546672480725	0.0696486382351	0.07119492082406885	0.07550841895309303	0.05894158685763753	0.02997380733659533	0.025212249145620865	-0.000952925990951143	0.01156319103852825	0.008829679475391943	0.013674340222073124	0.02715538395251142	0.03321859600311434	0.03853732019983052	0.03543883825192566	0.006239540802188489	0.019984882864627098	0.021437798847450912	0.029441209941662917	0.021625913502631117	0.01256250008100866	0.015988434137763546	0.03622782551499141	0.02668137990921495	-0.019043607562554087	-0.00011693756820063224	0.019420860995177855	0.04544175357606296	0.06752898810430108	0.05570025846331137	0.06518754762875678	0.03931129310823722	0.0007042650063640243	nan	nan	nan	nan	nan	-0.005872778049189024	0.053259107309081205	0.020579341967642235	0.010190286528132749	nan	0.044449993404493966	-0.030084218460755513	0.058141007495009646	-0.014527193224103296	nan	-0.001216832487838967	0.002145006183992456	-0.023253063974561915	0.02194916059658079	0.02177111748261028	0.014041723640689716	-0.034155058195630986	0.010380935899653852	-0.02548630109393156	-0.007809378460812185	0.030352319550878998	0.002223455709419874	0.0052573122430640195
q0004_0004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
q0004_0005	-0.0075489579085192835	-0.036029309242235415	-0.08642403395234165	0.14069981126712333	0.19956568611859085	0.35433204704735094	nan	1.0	-0.10947585772766864	-0.06377755292724444	-0.07046311368541892	-0.12893595149840295	-0.0690429675236943	-0.008794945264528824	-0.041611717611749255	0.01725076313287208	0.02750541387475481	-0.02137143690933106	-0.01447550650376979	0.03662391550567922	-0.02667471939406837	0.03491438733189725	0.0998902219555771	nan	0.12172923225449565	0.06213117747382089	0.08998718039391539	0.08013161696291476	0.053927186927909744	nan	nan	0.01258850472962846	-0.05550151498387332	0.011579688898225547	0.0594221611030975	0.058302959855820395	0.04855448226170408	0.056577031888551066	0.03139009012292086	0.049221766172741266	-0.007553248211534399	-0.014432289404264031	0.056648061973870706	0.04449227765743879	0.03075961980216801	-0.008379142572960492	-0.007213839027612311	0.021153180857435235	-0.012126485827173539	0.02115318085743538	0.03472973369291873	0.015477179267225145	0.005668110606198372	-0.030510823611991592	8.913331936756479e-05	-0.01705409555391298	0.02170851794195697	-0.04146426529873023	-0.030725285498665492	-4.9966858914598464e-05	0.06001133684539521	0.07168923780511786	0.08760196702143805	0.044360495977915256	0.059834614945819764	-0.037643128625986705	nan	nan	nan	nan	nan	-0.040386216929097635	0.0795275903425365	0.02153258459188832	0.020232126222161216	nan	0.04258809713230185	-0.09038760876327664	0.018172156641272464	-0.09368516020173914	nan	0.01644563026779929	0.007637482159140113	0.009556478317993231	0.03403162702827364	0.02144645509135183	-0.05407921925899135	0.012909577860898492	-0.007707945536662545	-0.017800153711729046	0.036312849186473484	-0.07862793143662224	-0.029044260482092563	0.027182587765296303
q0004_0006	-0.012488062150781047	-0.00030090586148525127	0.04512138201090002	-0.2549488378712398	-0.09842143452620333	-0.09318397521175487	nan	-0.10947585772766864	1.0	-0.04862158442326782	0.009940462050443927	-0.013235034048372332	-0.04254424305663768	-0.014398527124600257	-0.017406967931112276	0.03285782699832636	-0.012086513223663602	0.05647236465534663	0.01945521212060555	0.057014841995920475	0.00512738632450001	-0.014562987868452603	-0.022169604848768447	nan	-0.03603334757169844	-0.04342677100036886	-0.022136916076097565	-0.02272497811703655	-0.028936917300029952	nan	nan	-0.015321413971743515	0.034513108450978935	-0.03401458829954579	-0.08571450072828868	-0.043017251785877536	-0.027825475328022545	-0.05759286560959205	-0.012712467441671437	-0.019438641829335277	0.0001625843177969105	0.10139476286117717	-0.01303756941743544	-0.06563184758432118	-0.05624355307040394	0.011232354432011192	0.07050779557338903	0.013036617636806632	-0.0034571066734672526	0.003890597878577695	0.006147569958957391	-0.05361789130518876	-0.026965282114662564	0.0694214414193604	-0.057932138615738885	-0.04025716849371276	-0.04692514489737685	0.04166260580678041	0.036485466777169163	0.003672586324074561	0.03851700786960395	0.014246163084600886	0.00776928186658345	0.04969201838500241	0.034016972482591674	0.1433170623421854	nan	nan	nan	nan	nan	0.16542825902940067	-0.032490758745084156	-0.037145097106348036	-0.03133790001164781	nan	-0.0012065961965557902	0.04059988171644395	0.0053053946224625795	0.03933852092184323	nan	-0.00042151358608850015	-0.027982268992268376	0.05051163222957772	-0.02369021941140124	-0.00878586672329509	0.06388516903360439	-0.009195873059726379	-0.0043965303319312005	0.0703892068488812	-0.0021981620511767456	0.04555840052027908	0.03210024754263063	-0.023991373797115603
q0005	-0.04805610765072406	0.03870147430071848	0.03888250053281704	0.0022536642782655493	-0.02464906196460732	-0.0230365251448217	nan	-0.06377755292724444	-0.04862158442326782	1.0	0.06535634055340965	0.10806852916920004	0.08517405610005963	0.05469658901650894	-0.005471034524246645	0.039468081890361766	-0.018662991070755988	-0.002671127952901157	0.0315681652199544	-0.07716652125382426	0.07774616705301035	-0.07697478803257783	-0.0703521862333589	nan	-0.09557690334604851	-0.05764645565106582	-0.0381939036814388	-0.06914478673749162	-0.12437247674453776	nan	nan	-0.07361655645738438	0.11292895909410516	-0.047598316304760434	-0.05935562896536029	-0.06418787094139614	-0.026765036303444706	-0.05022379036193365	-0.048308372423430584	-0.02482542278624286	0.013562288313804433	-0.04095862324357982	-0.03868604139578834	-0.05267180024234861	-0.07578668898014443	0.04449378870559609	-0.04510664533558694	-0.018710238271005365	-0.02152316092302193	-0.047653758201727	-0.02741147428596792	-0.02424617691746433	0.004682647894925898	-0.06592677253858835	-0.013368841251244786	0.025947135901325122	-0.027755884039172073	0.10554034914982709	0.04310661961610733	0.08483689863607147	-0.0210669235038331	-0.021372694172562032	-0.09153312466953088	0.013910028418730819	-0.03907940564548074	-0.031699798713306346	nan	nan	nan	nan	nan	-0.042711842496129235	-0.08392764160211443	-0.061327060608616736	-0.06920636445130209	nan	-0.012161401946869925	0.09837974694343836	-0.03623719686647612	0.11808184616783952	nan	0.019366495841524962	-0.041498425263135505	-0.013812925286898608	0.004368928053019686	0.034260871984706245	-0.0021586716337597305	-0.06021782269095574	-0.04309942003292739	-0.033268437009343704	-0.03435792771245344	0.09033139287871988	0.06734194263597816	-0.06020512391684644
